id;created_at;updated_at;type;url;width;height;active
1;2024-02-02T04:20:20;2024-02-02T18:52:15;IMAGE;https://corrupt-size.info/;24130;7681;false
2;2024-02-02T05:28:07;2024-02-02T13:20:26;IMAGE;https://revolving-container.info/;1019;27366;false
3;2024-02-02T15:47:21;2024-02-03T02:02:41;VIDEO;https://stale-agriculture.name/;10320;16283;false
4;2024-02-02T08:40:28;2024-02-02T18:44:55;IMAGE;https://single-mustache.com;5397;8033;true
5;2024-02-02T16:05:55;2024-02-02T07:57:50;VIDEO;https://showy-affiliate.br;7124;31925;true
6;2024-02-02T08:32:28;2024-02-02T11:19:08;IMAGE;https://homely-tent.biz/;6424;14534;true
7;2024-02-02T10:36:53;2024-02-02T10:31:26;VIDEO;https://enchanting-unemployment.com;19579;19701;true
8;2024-02-02T17:09:50;2024-02-02T09:27:05;VIDEO;https://composed-modernity.biz;7381;8364;true
9;2024-02-03T01:09:15;2024-02-03T02:10:01;VIDEO;https://political-broccoli.name;29666;28373;false
10;2024-02-02T23:01:45;2024-02-03T02:25:40;IMAGE;https://smug-brushing.com/;2252;19217;false
